Church Name,Phone Number,Zip Code,Address,Denomination,State,URL
Northside Assembly Of God,636-428-0255,63114,"2334 Wismer Ave, St Louis, MO, 63114",Assemblies of God,MO,
Northside Assembly Of God,314-428-0255,63114,"9744 Lackland Rd, St Louis, MO, 63114",Assemblies of God,MO,
St Peter United Church Of Christ,618-824-6280,62214,"11360 Main St, Addieville, IL, 62214",United Church of Christ,MO,
St Peters United Church Christ,618-824-6530,62214,"4290 Stone Church Rd, Addieville, IL, 62214",Interdenominational,MO,
St Salvator Lutheran Church,618-824-6366,62214,"179 W Church St, Addieville, IL, 62214",Lutheran - Missouri Synod,MO,
Zion United Church Of Christ,618-424-7818,62214,"PO Box 53, Addieville, IL, 62214",United Church of Christ,MO,
St Bernards Church,618-248-5112,62215,"PO Box 10, Albers, IL, 62215",Roman Catholic,MO,
St Damian Church,618-248-5134,62215,"1 W Main St, Albers, IL, 62215",Roman Catholic,MO,
St Francis Of Assisi Church,618-228-7219,62216,"PO Box 93, Aviston, IL, 62216",Roman Catholic,MO,
Baldwin Presbyterian Church,618-785-2476,62217,"209 W Church St, Baldwin, IL, 62217",Presbyterian,MO,
St John Lutheran Church,618-785-2344,62217,"PO Box 162, Baldwin, IL, 62217",Lutheran - Missouri Synod,MO,
St Cecilias Church,618-765-2162,62218,"PO Box 176, Bartelso, IL, 62218",Roman Catholic,MO,
St Anthonys Church,618-227-8236,62219,"PO Box 305, Beckemeyer, IL, 62219",Roman Catholic,MO,
Armed Forces Baptist Mission,618-236-2360,62220,"402 E Main St, Belleville, IL, 62220",Baptist,MO,
Belleville Bible Way,618-277-5671,62220,"200 E Washington St, Belleville, IL, 62220",Nondenominational,MO,
Belleville Foursquare Church,618-257-8553,62220,"223 N Illinois St, Belleville, IL, 62220",Foursquare Gospel,MO,
Calvary Assembly Of God,618-277-0122,62220,"611 Mcclintock Ave, Belleville, IL, 62220",Assemblies of God,MO,
Christ United Church Of Christ,618-233-1962,62220,"26 N 14th St, Belleville, IL, 62220",United Church of Christ,MO,
First Divine Science Church,618-233-4360,62220,"311 E Lincoln St, Belleville, IL, 62220",Interdenominational,MO,
First Tabernacle Church,618-960-3890,62220,"600 North Illinois Street, Belleville, IL, 62220",Other,MO,
Garden Heights Baptist Church,618-234-7525,62220,"1897 Mascoutah Ave, Belleville, IL, 62220",Southern Baptist,MO,
Glorious Church Fellowship,618-235-6373,62220,"1909 S Illinois St, Belleville, IL, 62220",Nondenominational,MO,
Metro East Church God,618-235-5986,62220,"708 Portland Ave, Belleville, IL, 62220",Interdenominational,MO,
New Antioch Missionary Baptist Church,618-233-7382,62220,"720 E Main St, Belleville, IL, 62220",Southern Baptist,MO,
St Georges,618-233-6320,62220,"105 E D St, Belleville, IL, 62220",Episcopal,MO,
St Lukes Church,618-236-1124,62220,"301 N Church St, Belleville, IL, 62220",Roman Catholic,MO,
St Paul United Church Of Christ,618-233-3303,62220,"115 W B St, Belleville, IL, 62220",United Church of Christ,MO,
St Peter Catholic Cathedral,618-234-1166,62220,"200 W Harrison St, Belleville, IL, 62220",Roman Catholic,MO,
Temple Eth Israel,618-233-3602,62220,"516 Court St, Belleville, IL, 62220",Jewish,MO,
Trinity United Church Christ,618-233-2941,62220,"47 N Douglas Ave, Belleville, IL, 62220",United Church of Christ,MO,
Union United Methodist Church,618-233-6375,62220,"721 E Main St, Belleville, IL, 62220",United Methodist,MO,
Well Living Water Ministries,618-277-7497,62220,"403 N Illinois St, Belleville, IL, 62220",Nondenominational,MO,
Apostolic Church,618-234-0680,62221,"1648 La Salle St, Belleville, IL, 62221",United Pentecostal,MO,
Assembly Mann,618-234-7137,62221,"1410 Loop Creek Ct, Belleville, IL, 62221",Other,MO,
Belleville First Assembly of God,618-233-1177,62221,"900 Fair Oaks Dr, Belleville, IL, 62221",Assemblies of God,MO,
Bethel Tabernacle,618-624-5497,62221,"4035 Lebanon Ave, Belleville, IL, 62221",Assemblies of God,MO,
Church Of Christ,618-234-5247,62221,"25 N Green Mount Rd, Belleville, IL, 62221",Church of Christ,MO,
Eastview Baptist Church,618-234-9255,62221,"211 Sherman St, Belleville, IL, 62221",Southern Baptist,MO,
Jehovahs Witnesses,618-234-4476,62221,"3187 Carlyle Ave, Belleville, IL, 62221",Jehovah's Witnesses,MO,
Korean Church Of The Nazarene,618-234-6981,62221,"1901 Lebanon Ave, Belleville, IL, 62221",Nazarene,MO,
Shiloh Assembly of God,618-972-8190,62221,"4035 Lebanon Avenue, Belleville, IL, 62221",Assemblies of God,MO,
St Teresa Child Jesus Church,618-233-3500,62221,"1201 Lebanon Ave, Belleville, IL, 62221",Roman Catholic,MO,
Towerview Baptist Church,618-277-7066,62221,"2401 Lebanon Ave, Belleville, IL, 62221",Southern Baptist,MO,
Zion Lutheran Church,618-233-2299,62221,"1810 Mcclintock Ave, Belleville, IL, 62221",Lutheran - Missouri Synod,MO,
Christian Belleville Center,618-235-1643,62222,"PO Box 713, Belleville, IL, 62222",Nondenominational,MO,
Faith Baptist Church,618-234-3391,62222,"PO Box 562, Belleville, IL, 62222",Baptist,MO,
Abdias Christian Faith Fellowship,618-397-2233,62223,"7410 Westchester Dr, Belleville, IL, 62223",Pentecostal,MO,
ABDIAS Christian Faith Fellowship Church,618 397-2233,62223,"7410 Westchester Drive, Belleville, IL, 62223",Church of God in Christ,MO,
Blessed Sacrament Church,618-397-2287,62223,"8707 W Main St, Belleville, IL, 62223",Roman Catholic,MO,
Calvary Lutheran Church,618-397-4989,62223,"6606 W Main St, Belleville, IL, 62223",Evangelical Lutheran in America,MO,
Concordia United Church Of Christ,618-476-3377,62223,"7600 State Route 163, Belleville, IL, 62223",United Church of Christ,MO,
Emmanuel Church Of The Nazarene,618-538-7335,62223,"8201 Old Saint Louis Rd, Belleville, IL, 62223",Nazarene,MO,
First Baptist Church Belleville,618-394-1145,62223,"PO Box 23019, Belleville, IL, 62223",Baptist,MO,
First Christian Church,618-233-5380,62223,"5929 Old Saint Louis Rd, Belleville, IL, 62223",Church of Christ,MO,
First Presbyterian Church,618-233-0295,62223,"1301 Royal Heights Rd, Belleville, IL, 62223",Presbyterian Church (U.S.A.),MO,
Good Shepherd Anglican Church,314-735-6025,62223,"9305 Lebanon Road, Belleville, IL, 62223",Anglican,MO,
Hillcrest Christian Church,615-397-5842,62223,"7401 W Main St, Belleville, IL, 62223",Christian (Disciples of Christ),MO,
Hillcrest United Pentecostal Church,618-538-5363,62223,"150 Illini Dr, Belleville, IL, 62223",United Pentecostal,MO,
Missionary Association Mary Immaculate,618-398-4848,62223,"9480 N Demazenod Dr, Belleville, IL, 62223",Other,MO,
Mount Calvary Church Of God,618-398-9931,62223,"35 Wesley Dr, Belleville, IL, 62223",Other,MO,
New Horizons Christian Fellowship,618-397-1100,62223,"10610 W Main St, Belleville, IL, 62223",Interdenominational,MO,
Our Lady Queen Of Peace Church,618-234-1206,62223,"5923 N Belt W, Belleville, IL, 62223",Roman Catholic,MO,
Pleasant Valley Baptist Church,618-397-7342,62223,"618 Dutch Hollow Rd, Belleville, IL, 62223",Southern Baptist,MO,
Signal Hill Lutheran Church,618-397-1407,62223,"8100 W Main St, Belleville, IL, 62223",Lutheran - Missouri Synod,MO,
St Matthews United Methodist Church,618-397-5994,62223,"1200 Moreland Dr, Belleville, IL, 62223",United Methodist,MO,
Unity Of Faith Fellowship,618-394-8599,62223,"PO Box 23176, Belleville, IL, 62223",Interdenominational,MO,
Faith Bible Baptist Fellowship,618-526-8460,62230,"977 N 5th St, Breese, IL, 62230",Southern Baptist,MO,
St Augustines Church,618-526-4362,62230,"525 S 3rd St, Breese, IL, 62230",Roman Catholic,MO,
St Dominics Church,618-526-7746,62230,"493 N 2nd St, Breese, IL, 62230",Roman Catholic,MO,
St Johns United Church Of Christ,618-526-4319,62230,"PO Box 402, Breese, IL, 62230",United Church of Christ,MO,
St Roses Church,618-526-4118,62230,"18010 Saint Rose Rd, Breese, IL, 62230",Roman Catholic,MO,
Bethlehem Lutheran Church,618-226-3550,62231,"12903 Clara St, Carlyle, IL, 62231",Lutheran - Missouri Synod,MO,
Bible Way House Of Prayer,618-326-7413,62231,"10433 Bartelso Rd, Carlyle, IL, 62231",Interdenominational,MO,
Boulder United Methodist Church,618-226-3415,62231,"20101 Buchele Rd, Shattuc, IL, 62231",Methodist,MO,
Carlyle Christian Church,618-594-3489,62231,"1025 Lake Rd, Carlyle, IL, 62231",Church of Christ,MO,
Carlyle Congregation Jehovahs Witness,618-594-2666,62231,"17748 Slant Rd, Carlyle, IL, 62231",Jehovah's Witnesses,MO,
Carlyle First Baptist Church,618-594-3223,62231,"650 Franklin St, Carlyle, IL, 62231",Southern Baptist,MO,
Diamond Springs Baptist Church,618-548-1068,62231,"20202 Diamond Springs Rd, Shattuc, IL, 62231",Southern Baptist,MO,
First Assembly Of God Church,618-594-4079,62231,"1890 Franklin St, Carlyle, IL, 62231",Assemblies of God,MO,
Huey United Methodist Church,618-594-2700,62231,"1710 Kane St, Carlyle, IL, 62231",United Methodist,MO,
Immanuel United Church Of Christ,618-594-3011,62231,"1970 Clinton St, Carlyle, IL, 62231",United Church of Christ,MO,
Messiah Lutheran Church,618-594-3912,62231,"1091 13Th St, Carlyle, IL, 62231",Lutheran - Missouri Synod,MO,
Second Baptist Church,618-594-4322,62231,"131 8th St, Carlyle, IL, 62231",Baptist,MO,
Shattuc United Methodist Church,618-247-3259,62231,"PO Box 293, Carlyle, IL, 62231",United Methodist,MO,
St Felicitas Church,618-594-3040,62231,"13322 Church Rd, Carlyle, IL, 62231",Roman Catholic,MO,
St Marys Church,618-594-2225,62231,"PO Box 179, Carlyle, IL, 62231",Roman Catholic,MO,
St Teresa Of Avila Church,618-594-3266,62231,"18021 Marydale Rd, Carlyle, IL, 62231",Roman Catholic,MO,
Trinity Bible Baptist Church,618-594-3350,62231,"PO Box 161, Carlyle, IL, 62231",Baptist,MO,
Way Of Life Worship Center,618-594-2000,62231,"PO Box 22, Carlyle, IL, 62231",United Pentecostal,MO,
Bethel Baptist Church,618-344-0782,62232,"PO Box 417, Caseyville, IL, 62232",Baptist,MO,
Caseyville First Baptist Church,618-397-4760,62232,"PO Box 484, Caseyville, IL, 62232",Southern Baptist,MO,
Caseyville United Methodist Church,618-344-3388,62232,"119 W Lincoln Ave, Caseyville, IL, 62232",United Methodist,MO,
Christian Worship Assembly,618-394-3538,62232,"8115 New Bunkum Rd, Caseyville, IL, 62232",Nondenominational,MO,
Church God In Christ Congregational,618-398-3848,62232,"2901 N 89th St, Caseyville, IL, 62232",Interdenominational,MO,
Crossroads Christian Church,618-397-5842,62232,"2415 N 89th St, Caseyville, IL, 62232",Christian (Disciples of Christ),MO,
Faith Ministries Center,618-398-1600,62232,"PO Box 515, Caseyville, IL, 62232",Church of God,MO,
Friends United Church Of Christ,618-344-1839,62232,"205 S Long St, Caseyville, IL, 62232",United Church of Christ,MO,
Friendship Missionary Baptist Church,618-345-1202,62232,"909 Bethel Mine Rd, Caseyville, IL, 62232",Missionary Baptist,MO,
Heartland Family Baptist Church,618-343-1078,62232,"839 Hollywood Heights Rd, Caseyville, IL, 62232",Southern Baptist,MO,
Oak Hill Seventh Day Adventist Church,618-344-1333,62232,"7864 N Illinois St, Caseyville, IL, 62232",Seventh-Day Adventist,MO,
Pin Oaks Baptist Church,618-632-8020,62232,"7517 N Illinois St, Caseyville, IL, 62232",Southern Baptist,MO,
St Anns Episcopal Church,618-344-2294,62232,"PO Box 730, Caseyville, IL, 62232",Episcopal,MO,
St Peter Lutheran Church,618-398-2646,62232,"8705 New Bunkum Rd, Caseyville, IL, 62232",Lutheran - Missouri Synod,MO,
St Stephen Church,618-397-0666,62232,"PO Box 458, Caseyville, IL, 62232",Roman Catholic,MO,
Calvary Temple Assembly Of God Church,618-826-4644,62233,"1004 Opdyke St, Chester, IL, 62233",Assemblies of God,MO,
Chester First Baptist Church,618-826-3918,62233,"719 State St, Chester, IL, 62233",Southern Baptist,MO,
Chester United Methodist Church,618-826-2549,62233,"871 State St, Chester, IL, 62233",United Methodist,MO,
First Christian Church,618-826-3117,62233,"W Buena Vista, Chester, IL, 62233",Church of Christ,MO,
First Presbyterian Church,618-826-2235,62233,"1750 State St, Chester, IL, 62233",Presbyterian Church (U.S.A.),MO,
First United Methodist Church,618-826-2540,62233,"725 Ann St, Chester, IL, 62233",Methodist,MO,
Grace Church Ministries,618-826-4734,62233,"2100 State St, Chester, IL, 62233",Nondenominational,MO,
New Life First Pentecostal Church,618-975-1332,62233,"1205 Opdyke, Chester, IL, 62233",Pentecostal,MO,
Peace Lutheran Church,618-826-3140,62233,"125 Opdyke St, Chester, IL, 62233",Evangelical Lutheran in America,MO,
St John Lutheran Church,618-826-3545,62233,"302 W Holmes St, Chester, IL, 62233",Lutheran - Missouri Synod,MO,
St John Lutheran Church,618-826-3397,62233,"10431 Paradise Rd, Chester, IL, 62233",Evangelical Lutheran in America,MO,
St Mary Church,618-826-2444,62233,"911 Swanwick St, Chester, IL, 62233",Roman Catholic,MO,
Alpha Omega Christian Fellowship,618-344-4091,62234,"3301 Harvard Pl, Collinsville, IL, 62234",Nondenominational,MO,
Assembly Of God Church,618-344-1000,62234,"1105 Belt Line Rd, Collinsville, IL, 62234",Assemblies of God,MO,
Assembly Of God Church,618-632-4477,62234,"8243 County Line Rd, Collinsville, IL, 62234",Assemblies of God,MO,
Bluffview Baptist Church,618-288-9832,62234,"2052 N Bluff Rd, Collinsville, IL, 62234",American Baptist,MO,
Calvary Pentecostal Church,618-346-1999,62234,"PO Box 142, Collinsville, IL, 62234",United Pentecostal,MO,
Calvary Pentecostal Church,(618)346-1999,62234,"2118 S. Morrison Ave, Collinsville, IL, 62234",Pentecostal,MO,
Christ Unity Church,618-345-8223,62234,"700 W Clay St, Collinsville, IL, 62234",Other,MO,
Church Of Christ,618-667-6708,62234,"1400 Troy Rd, Collinsville, IL, 62234",Church of Christ,MO,
Collinsville Church Of God,618-344-1070,62234,"302 Brown Ave, Collinsville, IL, 62234",Church of God (Cleveland TN),MO,
Collinsville Congregation Jehovahs,618-344-3644,62234,"1423 Saint Clair Ave, Collinsville, IL, 62234",Jehovah's Witnesses,MO,
Faith Chapel Baptist Church,618-345-1273,62234,"3108 Fairmont Ave, Collinsville, IL, 62234",Southern Baptist,MO,
Faith In Action,618-344-8080,62234,"222 Goethe Ave, Collinsville, IL, 62234",Other,MO,
First Baptist Church,618-344-2713,62234,"723 Saint Louis Rd, Collinsville, IL, 62234",Baptist,MO,
First Church Of The Nazarene,618-345-1661,62234,"1701 Saint Louis Rd, Collinsville, IL, 62234",Nazarene,MO,
First Presbyterian Church,618-344-1109,62234,"201 E Church St, Collinsville, IL, 62234",Presbyterian Church (U.S.A.),MO,
First United Methodist Church,618-344-3824,62234,"207 W Church St, Collinsville, IL, 62234",United Methodist,MO,
Greater New Jerusalem Inc,618-346-8684,62234,"1502 Vandalia St, Collinsville, IL, 62234",Community,MO,
Holy Cross Lutheran Church,618-344-3145,62234,"304 South St, Collinsville, IL, 62234",Lutheran - Missouri Synod,MO,
Hope Presbyterian Church,618-346-4800,62234,"2227 Vandalia St, Collinsville, IL, 62234",Presbyterian Church in America,MO,
Landmark Baptist Church,618-345-8692,62234,"107 Meyer Dr, Collinsville, IL, 62234",Baptist,MO,
Bethany United Methodist Church,618-281-5849,62236,"1608 Hill Top Rd, Columbia, IL, 62236",United Methodist,MO,
Christ Community Lutheran Church,618-281-4646,62236,"PO Box 234, Columbia, IL, 62236",Evangelical Lutheran in America,MO,
EastBridge Fellowship,(636) 287-6744,62236,"600 Columbia Centre Dr., Columbia, IL, 62236",Church of God (Cleveland TN),MO,
Faith Lutheran Church - Columbia Campus,(618) 830-1782,62236,"600 Columbia Center Drive, Columbia, IL, 62236",Lutheran,MO,
Family Christian Church Of Nazarene,618-281-4062,62236,"PO Box 261, Columbia, IL, 62236",Nazarene,MO,
First Assembly Of God Church,618-281-7755,62236,"PO Box 376, Columbia, IL, 62236",Assemblies of God,MO,
First Baptist Church,618-281-5605,62236,"626 W Bottom Ave, Columbia, IL, 62236",Southern Baptist,MO,
Hope Christian Church,618-939-9089,62236,"9273 Coach Stop Rd, Columbia, IL, 62236",Church of Christ,MO,
Immaculate Conception Church,618-281-5105,62236,"117 E Madison St, Columbia, IL, 62236",Roman Catholic,MO,
St Paul Lutheran Church,618-281-4600,62236,"227 Goodhaven St, Columbia, IL, 62236",Lutheran - Missouri Synod,MO,
St Paul United Church Of Christ,618-281-5102,62236,"127 Saint Paul St, Columbia, IL, 62236",United Church of Christ,MO,
Zoar United Church Of Christ,618-939-8479,62236,"9103 D Rd, Columbia, IL, 62236",United Church of Christ,MO,
Church Of Latter Day Saints,618-758-2781,62237,"General Delivery, Coulterville, IL, 62237",Mormon,MO,
Coulterville First Baptist Church,618-758-3200,62237,"204 S 3rd St, Coulterville, IL, 62237",Southern Baptist,MO,
Coultervle United Methodist Church,618-758-2472,62237,"PO Box 588, Coulterville, IL, 62237",United Methodist,MO,
Grandcote Reformed Presbyterian Church,618-758-2432,62237,"PO Box 411, Coulterville, IL, 62237",Presbyterian Church in America,MO,
Winkle Baptist Church,618-758-2681,62237,"RR 1, Coulterville, IL, 62237",Southern Baptist,MO,
Cutler First Baptist Church,618-497-2347,62238,"PO Box 127, Cutler, IL, 62238",Southern Baptist,MO,
First Baptist Church,618-497-2752,62238,"2262 Pyatt Cutler Rd, Cutler, IL, 62238",American Baptist,MO,
Reformed Presbyterian Church,618-497-2489,62238,"PO Box 118, Cutler, IL, 62238",Presbyterian Church in America,MO,
Tri-County First Pentecostal Church,618-497-2953,62238,"PO Box 126, Cutler, IL, 62238",United Pentecostal,MO,
Apostolic Worship Center & Academy,618-286-4279,62239,"400 Louisa Avenue, Dupo, IL, 62239",United Pentecostal,MO,
Bethel Fellowship Church,618-286-6226,62239,"440 Mcbride Ave, Dupo, IL, 62239",Other,MO,
Christ United Church Of Christ,618-286-4211,62239,"200 S 3rd St, Dupo, IL, 62239",United Church of Christ,MO,
Church Of The Nazarene,618-286-4698,62239,"201 Richard Ave, Dupo, IL, 62239",Nazarene,MO,
Dupo Congregation Jehovahs Witnesses,618-286-4464,62239,"1490 Falling Springs Dr, Dupo, IL, 62239",Interdenominational,MO,
Dupo First Baptist Church,618-286-5810,62239,"PO Box 219, Dupo, IL, 62239",Southern Baptist,MO,
First Congregational Church,618-286-5623,62239,"425 Louisa Ave, Dupo, IL, 62239",United Church of Christ,MO,
First Pentecostal Church,618-286-4279,62239,"400 Louisa Ave, Dupo, IL, 62239",United Pentecostal,MO,
Sacred Heart Of Jesus Church,618-286-3224,62239,"100 S 3rd St, Dupo, IL, 62239",Roman Catholic,MO,
Trinity General Baptist Church,618-286-4773,62239,"252 Lime St, Dupo, IL, 62239",Baptist,MO,
Est Carondelet First Baptist Church,618-286-3555,62240,"PO Box 43, East Carondelet, IL, 62240",Southern Baptist,MO,
Flat Creek Missionary Baptist Church,618-286-5553,62240,"PO Box 173, East Carondelet, IL, 62240",Baptist,MO,
Holy Cross Lutheran Church,618-538-5600,62240,"7640 Triple Lakes Rd, East Carondelet, IL, 62240",Lutheran - Missouri Synod,MO,
Aldersgate United Methodist Church,618-397-6908,62201,"1411 Missouri Ave, East St Louis, IL, 62201",United Methodist,MO,
Canteen Baptist Church,618-397-7024,62201,"3050 N 61st St, East St Louis, IL, 62201",Southern Baptist,MO,
Charity Pentecostal Church of Christ,618-274-8624,62201,"600 N 9th St, East St Louis, IL, 62201",Pentecostal,MO,
Christian Center House Of Worship,618-874-5615,62201,"540 N 6th St, East St Louis, IL, 62201",Southern Baptist,MO,
Christian New Dimensions Center,618-875-3421,62201,"1319 Missouri Ave, East St Louis, IL, 62201",Nondenominational,MO,
Community Worship Center Church Of God,618-482-5918,62201,"314 Exchange Ave, East St Louis, IL, 62201",Church of God (Anderson IN),MO,
Divine Holiness Temple Church,618-875-9880,62201,"1058 State St, East St Louis, IL, 62201",Apostolic,MO,
East Lively Stone Church God,618-274-3300,62201,"1221 Fischer Ave, East St Louis, IL, 62201",Church of God,MO,
Fairmont Baptist Church,618-874-2685,62201,"2733 N 44th St, East St Louis, IL, 62201",Southern Baptist,MO,
First Baptist Church,618-875-0857,62201,"1101 State St, East St Louis, IL, 62201",American Baptist,MO,
Haynes Miracle Temple Church,618-271-0593,62201,"537 N 9th St, East St Louis, IL, 62201",Interdenominational,MO,
Holy Rosary Church,618-274-3486,62201,"2716 N 42nd St, East St Louis, IL, 62201",Roman Catholic,MO,
Holy Word of Life Church-Center,618-857-2010,62205,"1601 Cleveland Avenue, East St Louis, IL, 62205",Baptist,MO,
Macedonia Church God In Christ,618-875-7107,62201,"1015 Cook St # 12, East St Louis, IL, 62201",Other,MO,
Mount Sinai Baptist Church,618-874-2002,62201,"1200 Saint Louis Ave, East St Louis, IL, 62201",Baptist,MO,
New Era Missionary Baptist Church,618-874-0049,62201,"1057 Liberty St, East St Louis, IL, 62201",Baptist,MO,
Ninth St Church God In Christ,618-875-9395,62201,"1020 N 9th St, East St Louis, IL, 62201",Interdenominational,MO,
North End Missionary Baptist Church,(618) 397-4544,62203,"463 N 88th St, East St Louis, IL, 62203",Missionary Baptist,MO,
Pilgram Baptist Church,618-274-3205,62201,"1459 Gaty Ave, East St Louis, IL, 62201",Baptist,MO,
St Judes Mission,618-274-8469,62201,"1338 Bond Ave, East St Louis, IL, 62201",Interdenominational,MO,
Bread Life Christian Church,618-271-7370,62202,"PO Box 2205, East St Louis, IL, 62202",Nondenominational,MO,
Cornerstone Of Faith Church,618-875-7791,62202,"PO Box 382, East St Louis, IL, 62202",Other,MO,
Good Shepherd Faith United Church Of Christ,618-271-9770,62202,"PO Box 2395, East St Louis, IL, 62202",United Church of Christ,MO,
Greater Faith Christian Fellow,618-271-7001,62202,"PO Box 2642, East St Louis, IL, 62202",Nondenominational,MO,
House Of Prayer Assembly,618-874-4008,62202,"PO Box 6374, East St Louis, IL, 62202",Pentecostal,MO,
Mount Zion Missionary Baptist Church,618-274-8350,62202,"PO Box 2333, East St Louis, IL, 62202",Baptist,MO,
Pilgrim Grn Missionary Church,618-274-2270,62202,"PO Box 2462, East St Louis, IL, 62202",Baptist,MO,
Straightway Baptist Church,618-875-4378,62202,"PO Box 2164, East St Louis, IL, 62202",Southern Baptist,MO,
Washington Park Grace United Methodist,618-482-4246,62202,"PO Box 2459, East St Louis, IL, 62202",United Methodist,MO,
Church Of Latter Day Saints,618-293-6645,62203,"5101 Lake Dr, East St Louis, IL, 62203",Mormon,MO,
Edgemont Church Of God,618-397-0192,62203,"762 N 71st St, East St Louis, IL, 62203",Church of God (Anderson IN),MO,
First Bible Fellowship Church,618-397-7884,62203,"8625 State St, East St Louis, IL, 62203",Other,MO,
First Christian Community Church,618-394-1194,62203,"233 N 88th St, East St Louis, IL, 62203",Christian (Disciples of Christ),MO,
Hallelujah Ministry Christian Center,618-398-1922,62203,"147 N 73rd St, East St Louis, IL, 62203",Nondenominational,MO,
Immanuel United Church Of Christ,618-397-4544,62203,"463 N 88th St, East St Louis, IL, 62203",United Church of Christ,MO,
Israeli Baptist Church,618-398-3926,62203,"1107 N 71st St, East St Louis, IL, 62203",Baptist,MO,
Jehovahs Witnesses Hall,618-397-4826,62203,"613 N 52nd St, East St Louis, IL, 62203",Jehovah's Witnesses,MO,
Jehovahs Witnesses Kingdom Hall,618-397-7423,62203,"515 N 80th St, East St Louis, IL, 62203",Jehovah's Witnesses,MO,
Liberty Temple,618-397-1089,62203,"203 Elm Dr, East St Louis, IL, 62203",Other,MO,
Living The Word Church Fellowship,618 398-1808,62234,"9500B Collinsville Road, Collinsville, IL, 62234",Nondenominational,MO,
Metro East Christian Center,618-397-2748,62203,"8011 Lake Dr, East St Louis, IL, 62203",Nondenominational,MO,
Morning Star Missionary Baptist Church,618-397-9099,62203,"616 N 58th St, East St Louis, IL, 62203",Baptist,MO,
Mount Moriah Missionary Baptist Church,618-394-8039,62203,"PO Box 893, East St Louis, IL, 62203",Interdenominational,MO,
Mount Zion Mission East Inc,618-397-3272,62203,"PO Box 918, East St Louis, IL, 62203",Interdenominational,MO,
New Bethel Missionary Baptist Church,618-397-8155,62203,"5803 Belmont Ave, East St Louis, IL, 62203",Baptist,MO,
New Jerusalem Seventh Day Adventist Church,618-398-5678,62203,"6901 State St, East St Louis, IL, 62203",Seventh-Day Adventist,MO,
Parkside Apostolic House Of Prayer,618-397-4302,62203,"225 N 68th St, East St Louis, IL, 62203",Apostolic,MO,
Refuge Temple Pentecostal,618-398-8707,62203,"5301 State St, East St Louis, IL, 62203",Pentecostal,MO,
Sc Sister Thea Bowman Catholic,618-397-0316,62203,"8213 Church Ln, East St Louis, IL, 62203",Roman Catholic,MO,
Another Chance Missionary Baptist Church,618-482-5278,62204,"1141 N 45th St, East St Louis, IL, 62204",Interdenominational,MO,
Bethlehem Baptist Church,618-274-2804,62204,"1817 N 39th St, East St Louis, IL, 62204",Southern Baptist,MO,
Bible Baptist Church,618-875-4065,62204,"5215 Bunkum Rd, East St Louis, IL, 62204",General Baptist,MO,
Calvary All Denominational Christian Church,6188573121,62205,"1751 Baugh Ave, East St Louis, IL, 62205",Interdenominational,MO,
Christ Temple Apostolic Faith,618-874-2608,62204,"3900 Bunkum Rd, East St Louis, IL, 62204",Apostolic,MO,
Christian Growth Center Church,618-874-4818,62204,"1200 N 41st St, East St Louis, IL, 62204",Interdenominational,MO,
Community Of Christ,618-271-3447,62204,"3600 Waverly Ave, East St Louis, IL, 62204",Mormon,MO,
Greater Providence Baptist Church,618-274-3043,62204,"1100 N 44th St, East St Louis, IL, 62204",Southern Baptist,MO,
House Of Prayer To All Nations,618-274-3850,62204,"PO Box 1133, East St Louis, IL, 62204",Pentecostal,MO,
Mount Calvary Church Of God In Christ,618-271-0494,62204,"1420 N 49th St, Washington Park, IL, 62204",Church of God in Christ,MO,
Mount Era Baptist Church,618-274-8915,62204,"PO Box 1010, East St Louis, IL, 62204",Baptist,MO,
New Beginnings Christian Baptist Church,618-874-6224,62204,"2117 N 55th St, East St Louis, IL, 62204",Other,MO,
San Fran Temple Est Church Of God,618-271-6737,62204,"PO Box 1096, East St Louis, IL, 62204",Interdenominational,MO,
Son Light Missionary Baptist Church,618-530-0361,62204,"3217 Caseyville Ave, East St Louis, IL, 62204",Southern Baptist,MO,
St Mark Baptist Church,618-874-8207,62204,"1527 N 42nd St, East St Louis, IL, 62204",Baptist,MO,
Stretch Out Arms Church Inc,618-332-1479,62204,"1400 N 55th St, East St Louis, IL, 62204",Pentecostal,MO,
Unity Lutheran Church,618-874-6600,62204,"4200 Caseyville Ave, East St Louis, IL, 62204",Lutheran - Missouri Synod,MO,
Washington Park Assembly Of God,618-875-6194,62204,"PO Box 1157, Washington Park, IL, 62204",Assemblies of God,MO,
Abundant Love Fellowship,618-337-1800,62206,"93 Water St, East St Louis, IL, 62206",Nondenominational,MO,
Apostolic Pentecostal Church,618-332-6534,62206,"200 Water St, East St Louis, IL, 62206",United Pentecostal,MO,
Asante Gospel Ministries,618-332-9991,62206,"512 Chaudet Ave, East St Louis, IL, 62206",Interdenominational,MO,
Bethel United Church Of Christ,618-337-3447,62206,"2200 Camp Jackson Rd, East St Louis, IL, 62206",United Church of Christ,MO,
Cahokia Church Of God,618-337-8436,62206,"822 Mildred Ave, Cahokia, IL, 62206",Church of God (Cleveland TN),MO,
Cahokia Park United Methodist Church,618-332-0909,62206,"1400 Camp Jackson Rd, Cahokia, IL, 62206",United Methodist,MO,
Emmanuel Assembly Of God Church,618-337-3360,62206,"3390 Jerome Ln, East St Louis, IL, 62206",Assemblies of God,MO,
First Assembly Of God Church,618-337-6907,62206,"9 Jerome Ln, Cahokia, IL, 62206",Assemblies of God,MO,
